source,target
120073239,1.00461E+18
2601856500,1.04971E+18
2601856500,2535904632
2601856500,1.04971E+18
2601856500,3308604593
2601856500,539994065
2601856500,1.04971E+18
2601856500,310039366
2601856500,310039366
2601856500,135204312
2601856500,135204312
2601856500,310039366
2601856500,8.44205E+17
2601856500,2612162790
2601856500,64423811
2601856500,310039366
2601856500,310039366
2601856500,16041095
2601856500,1.07467E+18
2601856500,90426711
2601856500,6135622
2601856500,119844526
2601856500,899813334
2601856500,1.32365E+18
2601856500,90426711
2601856500,2612162790
2601856500,310039366
2601856500,1.32365E+18
2601856500,135204312
2601856500,8.65217E+17
2601856500,8.65217E+17
2601856500,306245721
2601856500,119844526
2601856500,310039366
2601856500,90426711
2601856500,1.32365E+18
2601856500,3111439953
2601856500,310039366
2601856500,3111439953
2601856500,90426711
2601856500,310039366
2601856500,310039366
2601856500,1.32365E+18
2601856500,90426711
2601856500,172477586
2601856500,310039366
2601856500,72854148
2601856500,539994065
2601856500,143280714
2601856500,2612162790
2601856500,2612162790
2601856500,2612162790
2601856500,326974383
2601856500,539994065
2601856500,326974383
2601856500,326974383
2601856500,539994065
2601856500,3291445877
2601856500,1.02662E+18
2601856500,3291445877
2601856500,8.93854E+17
794154997,16535283
794154997,8.55529E+17
794154997,8.55529E+17
794154997,403338928
794154997,289944228
794154997,8.55529E+17
794154997,2752775016
794154997,216182628
794154997,38849198
794154997,38849198
794154997,289944228
794154997,38849198
794154997,38849198
794154997,38849198
794154997,54658928
794154997,1.27882E+18
794154997,8.55529E+17
794154997,8.55529E+17
794154997,7.11947E+17
794154997,24135332
794154997,24135332
794154997,1325780257
794154997,54658928
794154997,66450516
794154997,7.65612E+17
794154997,27658734
794154997,54658928
794154997,8.55529E+17
794154997,42635826
794154997,54658928
794154997,19403298
794154997,7.28656E+17
794154997,17349956
794154997,70447611
794154997,54658928
794154997,54658928
794154997,25081324
794154997,3115298195
794154997,3115298195
794154997,1259839165
794154997,7.92801E+17
794154997,43230633
794154997,1225955059
794154997,8.55529E+17
794154997,1.15889E+18
794154997,1910771
794154997,3028870259
794154997,7.93235E+17
794154997,7.85836E+17
1.1616E+18,1.01928E+18
1.1616E+18,1.10712E+18
1.1616E+18,310323758
1.1616E+18,310323758
1.1616E+18,1.17938E+18
1.1616E+18,1.17938E+18
1.1616E+18,4083421809
1.1616E+18,2524446480
1.1616E+18,310323758
1.1616E+18,1.26344E+18
1.1616E+18,8.29261E+17
1.1616E+18,3426169055
1.1616E+18,62605190
1.1616E+18,1221377785
1.1616E+18,1.10712E+18
1.1616E+18,1.26344E+18
1.1616E+18,1.1616E+18
1.1616E+18,1.26344E+18
1.1616E+18,478458740
